obj_id,star_id,label_raw,label,probability,category,reason,subset
5549.01,6499453,PC,1,0.8967846981938861,CONFIRMED_ALGO,,test
6850.01,9166136,PC,1,0.8967844279846758,CONFIRMED_ALGO,,test
3676.01,302470965,PC,1,0.8967844254518926,CONFIRMED_ALGO,,test
1057.01,323132914,PC,1,0.8967843785404147,CONFIRMED_ALGO,,test
2073.01,441642457,PC,1,0.8967843368245783,CONFIRMED_ALGO,,test
6879.01,364955057,PC,1,0.8967842702041351,CONFIRMED_ALGO,,test
4893.01,441234277,PC,1,0.8967842501237084,CONFIRMED_ALGO,,test
533.01,309791156,PC,1,0.896784176574571,CONFIRMED_ALGO,,test
5495.01,380671216,PC,1,0.8967841372744435,CONFIRMED_ALGO,,test
5161.01,277697921,PC,1,0.896784125288191,CONFIRMED_ALGO,,validation
4575.01,372759746,PC,1,0.8967841229276448,CONFIRMED_ALGO,,test
4058.01,229639351,PC,1,0.8967840943016531,CONFIRMED_ALGO,,test
2075.01,23814735,PC,1,0.8967840556958443,CONFIRMED_ALGO,,test
5809.01,283471501,PC,1,0.896784053637978,CONFIRMED_ALGO,,test
2915.01,89617284,PC,1,0.8967840427709493,CONFIRMED_ALGO,,test
3899.01,441697509,PC,1,0.8967840395284558,CONFIRMED_ALGO,,test
5783.01,319684122,PC,1,0.8967839860917433,CONFIRMED_ALGO,,test
6201.01,455727012,PC,1,0.8967839280770318,CONFIRMED_ALGO,,test
4567.02,307849973,PC,1,0.8967839163228543,CONFIRMED_ALGO,,validation
4023.01,470678283,PC,1,0.8967839087732301,CONFIRMED_ALGO,,validation
2092.01,393965778,PC,1,0.896783905284974,CONFIRMED_ALGO,,validation
3500.01,443666343,PC,1,0.8967838684797954,CONFIRMED_ALGO,,validation
702.01,237914496,PC,1,0.8967838679724381,CONFIRMED_ALGO,,test
1802.01,138762614,PC,1,0.8967837856896319,CONFIRMED_ALGO,,test
6099.01,118914286,PC,1,0.8967837273208777,CONFIRMED_ALGO,,validation
4296.01,72668830,PC,1,0.8967837154928374,CONFIRMED_ALGO,,test
